Country,HappinesScore,Population,LifeExp,GDP
Switzerland,7.59,8282396.0,82.9,79837.85
Iceland,7.56,330815.0,82.47,5794878.34
Denmark,7.53,5683483.0,80.7,339706.13
Norway,7.52,5188607.0,82.3,544774.94
Canada,7.43,35832513.0,81.9,51821.14
Finland,7.41,5479531.0,81.48,34215.88
Netherlands,7.38,16939923.0,81.51,39165.37
Sweden,7.36,9799186.0,82.2,399433.67
New Zealand,7.29,4595700.0,81.46,51403.78
Australia,7.28,23815995.0,82.4,67768.41
Israel,7.28,8380100.0,82.05,124058.98
Costa Rica,7.23,4807852.0,79.63,5333046.07
Austria,7.2,8642699.0,81.19,36129.03
Mexico,7.19,125890949.0,76.93,137292.28
United States,7.12,320742673.0,78.69,52099.27
Brazil,6.98,205962108.0,75.28,19964.17
Luxembourg,6.95,569604.0,82.29,80967.45
Ireland,6.94,4701957.0,81.45,51131.01
Belgium,6.94,11274196.0,80.99,34100.73
United Arab Emirates,6.9,9154302.0,77.1,149668.65
